year,region,avg_temp,precipitation,humidity,solar_radiation,wind_speed,fruit_slug
2011,강원특별자치도,10.26011942361111,52.361565722222224,0.5535650324074074,14.670507810185184,2.118966888888889,apple
2011,강원특별자치도,10.26011942361111,52.361565722222224,0.5535650324074074,14.670507810185184,2.118966888888889,pear
2011,강원특별자치도,10.26011942361111,52.361565722222224,0.5535650324074074,14.670507810185184,2.118966888888889,peach
2011,강원특별자치도,10.26011942361111,52.361565722222224,0.5535650324074074,14.670507810185184,2.118966888888889,grape
2011,강원특별자치도,10.26011942361111,52.361565722222224,0.5535650324074074,14.670507810185184,2.118966888888889,mandarin
2011,경기도,12.252541295698924,52.24118822580645,0.545624123655914,14.530569819892474,1.719212623655914,apple
2011,경기도,12.252541295698924,52.24118822580645,0.545624123655914,14.530569819892474,1.719212623655914,pear
2011,경기도,12.252541295698924,52.24118822580645,0.545624123655914,14.530569819892474,1.719212623655914,peach
2011,경기도,12.252541295698924,52.24118822580645,0.545624123655914,14.530569819892474,1.719212623655914,grape
2011,경기도,12.252541295698924,52.24118822580645,0.545624123655914,14.530569819892474,1.719212623655914,mandarin
2011,경상남도,13.354523539351852,60.1913165,0.5261379444444444,15.08934225925926,1.927939685185185,apple
2011,경상남도,13.354523539351852,60.1913165,0.5261379444444444,15.08934225925926,1.927939685185185,pear
2011,경상남도,13.354523539351852,60.1913165,0.5261379444444444,15.08934225925926,1.927939685185185,peach
2011,경상남도,13.354523539351852,60.1913165,0.5261379444444444,15.08934225925926,1.927939685185185,grape
2011,경상남도,13.354523539351852,60.1913165,0.5261379444444444,15.08934225925926,1.927939685185185,mandarin
2011,경상북도,12.477852128623189,45.95335773913043,0.5225535688405797,14.808604278985507,2.144469268115942,apple
2011,경상북도,12.477852128623189,45.95335773913043,0.5225535688405797,14.808604278985507,2.144469268115942,pear
2011,경상북도,12.477852128623189,45.95335773913043,0.5225535688405797,14.808604278985507,2.144469268115942,peach
2011,경상북도,12.477852128623189,45.95335773913043,0.5225535688405797,14.808604278985507,2.144469268115942,grape
2011,경상북도,12.477852128623189,45.95335773913043,0.5225535688405797,14.808604278985507,2.144469268115942,mandarin
2011,광주광역시,14.393898041666667,52.655224,0.5486014166666666,15.032233833333335,1.9918896666666666,apple
2011,광주광역시,14.393898041666667,52.655224,0.5486014166666666,15.032233833333335,1.9918896666666666,pear
2011,광주광역시,14.393898041666667,52.655224,0.5486014166666666,15.032233833333335,1.9918896666666666,peach
2011,광주광역시,14.393898041666667,52.655224,0.5486014166666666,15.032233833333335,1.9918896666666666,grape
